minimum_nights,calculated_host_listings_count,neighbourhood_group,room_type,price
0.0,0.046511627906976744,0.0,0.0,55
0.0,0.023255813953488372,0.5,0.0,46
0.09090909090909091,0.046511627906976744,0.0,0.0,40
0.0,0.06976744186046513,0.25,1.0,45
0.0,0.11627906976744184,0.5,0.0,55
0.0,0.06976744186046513,0.0,1.0,50
0.0,0.023255813953488372,0.0,0.0,50
0.0,0.023255813953488372,0.5,0.0,50
0.5454545454545454,0.20930232558139533,0.0,0.0,35
0.0,0.0,0.0,0.0,60
0.0,0.06976744186046513,0.25,1.0,49
0.09090909090909091,0.09302325581395349,0.0,0.0,52
0.0,0.046511627906976744,0.0,0.5,50
0.2727272727272727,0.0,0.5,0.0,35
0.0,0.046511627906976744,0.5,0.0,45
0.0,0.09302325581395349,0.5,0.0,50
0.09090909090909091,0.13953488372093023,0.0,1.0,30
0.1818181818181818,0.023255813953488372,0.0,0.0,60
0.0,0.13953488372093023,0.0,0.0,48
